央视频道,#genre#
HBO家庭,http://hk.666230.xyz/Smartv.php?id=fyi_twn
Hollywood Movies,http://hk.666230.xyz/Smartv.php?id=hollywoodmovies_twn
CINEMAX,http://hk.666230.xyz/Smartv.php?id=cinemax_twn
AXN,http://hk.666230.xyz/Smartv.php?id=axn_twn
CATCHPLAY,http://hk.666230.xyz/Smartv.php?id=catchplay_twn
Warner TV,http://hk.666230.xyz/Smartv1.php?id=WarnerTV
Thrill,http://hk.666230.xyz/Smartv1.php?id=Thrill
TVBS,http://hk.666230.xyz/Smartv.php?id=tvbs
TVBS新闻台,http://hk.666230.xyz/Smartv.php?id=tvbs_n
TVBS欢乐台,http://hk.666230.xyz/Smartv.php?id=tvbshuanle_twn
中天新闻,http://hk.666230.xyz/Smartv.php?id=ctinews
中天娱乐,http://hk.666230.xyz/Smartv1.php?id=ctient
中天综合,http://hk.666230.xyz/Smartv.php?id=ctizhonghe
中天亚洲,http://hk.666230.xyz/Smartv1.php?id=ctiasia_twn
台视,http://hk.666230.xyz/Smartv.php?id=ttv_taiwan
台视新闻,http://hk.666230.xyz/Smartv.php?id=ttvnews_twn
中视,http://hk.666230.xyz/Smartv.php?id=zhongshihd_twn
中视新闻,http://hk.666230.xyz/Smartv1.php?id=zhongshinews_twn
民视,http://hk.666230.xyz/Smartv.php?id=ftvhd_taiwan
民视新闻,http://hk.666230.xyz/Smartv.php?id=ftvnew_taiwan
民视台湾,http://hk.666230.xyz/Smartv.php?id=ftvtaiwan_twn
华视,http://hk.666230.xyz/Smartv.php?id=ctshd_twn
公视,http://hk.666230.xyz/Smartv.php?id=ctv_taiwan
八大综合,http://hk.666230.xyz/Smartv.php?id=badazhonghe
三立台湾,http://hk.666230.xyz/Smartv.php?id=sanlitaiwan
三立戏剧,http://hk.666230.xyz/Smartv.php?id=sanlixiju_twn
三立综合,http://hk.666230.xyz/Smartv.php?id=sanlizhonghe
东森新闻,http://hk.666230.xyz/Smartv.php?id=ettvnews
东森戏剧,http://hk.666230.xyz/Smartv1.php?id=ettvdrama
东森财经新闻,http://hk.666230.xyz/Smartv.php?id=ettvcaijing_twn
非凡新闻,http://hk.666230.xyz/Smartv.php?id=feifannews_twn
年代新闻,http://hk.666230.xyz/Smartv.php?id=niandainews_twn
龙华戏剧,http://hk.666230.xyz/Smartv.php?id=lunghuaxiju_twn
龙华电影,http://hk.666230.xyz/Smartv.php?id=xingwei_movie
龙华洋片,http://hk.666230.xyz/Smartv.php?id=lunghuajingdian_twn
龙华洋片,http://hk.666230.xyz/Smartv.php?id=lunghuawestern_twn
龙华偶像,http://hk.666230.xyz/Smartv.php?id=lunghuaidol_twn
纬来电影,http://hk.666230.xyz/Smartv.php?id=videolandmovie
纬来体育,http://hk.666230.xyz/Smartv.php?id=videolandsport
纬来日本,http://hk.666230.xyz/Smartv.php?id=videolandjapan
靖天国际,http://hk.666230.xyz/Smartv.php?id=jingtianintl_twn
靖天卡通,http://hk.666230.xyz/Smartv.php?id=jingtiancartoon_twn
大爱1台,http://hk.666230.xyz/Smartv.php?id=daai_twn
亚洲美食,http://hk.666230.xyz/Smartv.php?id=afc_twn
美食星球,http://hk.666230.xyz/Smartv.php?id=foodplanet_twn
TLC旅游,http://hk.666230.xyz/Smartv.php?id=tlc_twn
Arirang,http://hk.666230.xyz/Smartv.php?id=arirang_twn
博斯运动1,http://hk.666230.xyz/Smartv.php?id=bosisport1_twn
博斯运动2,http://hk.666230.xyz/Smartv.php?id=bosisport2_twn
博斯高球2,http://hk.666230.xyz/Smartv.php?id=bosigolf2_twn
博斯网球,http://hk.666230.xyz/Smartv.php?id=bositennis_twn
博斯无限,http://hk.666230.xyz/Smartv.php?id=bosiunlimited_twn
MTV Live,http://hk.666230.xyz/Smartv.php?id=mtvhd_twn
龙祥時代,http://hk.666230.xyz/Smartv.php?id=lungxiangtime_twn
EYETV旅游,http://hk.666230.xyz/Smartv.php?id=eyetvtravel_twn
华艺中文台,http://hk.666230.xyz/Smartv.php?id=weishichinese_twn
東森YoYo,http://hk.666230.xyz/Smartv.php?id=yoyo_twn
ELTA影剧,http://hk.666230.xyz/Smartv.php?id=eltayingju_twn
ELTA体育1台,http://hk.666230.xyz/Smartv.php?id=eltasport_twn
ELTA体育2台,http://hk.666230.xyz/Smartv.php?id=eltasport2_twn
ELTA体育3台,http://hk.666230.xyz/Smartv.php?id=eltasport3_twn
亚洲旅游台,http://hk.666230.xyz/Smartv.php?id=asiatravel_twn
成人直播🌈,#genre#
松视1,http://live.redtraffic.xyz:80/fetish.m3u8
松视2,http://live.redtraffic.xyz:80/bigdick.m3u8
松视3,https://2.ddyunbo.com/20190904/ZnGN7sEl/index.m3u8
粉红台,https://2.ddyunbo.com/20190908/qvYslaAx/index.m3u8
香蕉台,https://2.ddyunbo.com/20190908/ETghLd5D/index.m3u8
彩虹台,https://2.ddyunbo.com/20190908/nvueB1Az/index.m3u8
PLAY,https://2.ddyunbo.com/20190908/zSd2DI9R/index.m3u8
松视一台,https://2.ddyunbo.com/20190914/dSIYelxz/index.m3u8
彩虹e台,https://2.ddyunbo.com/20190914/vL0TDJOa/index.m3u8
极限台,https://2.ddyunbo.com/20190918/7mkn1AhN/index.m3u8
欧美版K频道,http://live.redtraffic.xyz:80/threesome.m3u8#http://live.redtraffic.xyz/threesome.m3u8fluxuslust.m3u8#http://live.redtraffic.xyz/threesome.m3u8
欧美版彩虹,http://live.redtraffic.xyz/bigtits.m3u8?fluxuslust.m3u8#http://live.redtraffic.xyz/bigtits.m3u8
欧美版大屌,http://live.redtraffic.xyz/rough.m3u8
欧美版二本道,http://live.redtraffic.xyz/blowjob.m3u8fluxuslust.m3u8#http://live.redtraffic.xyz/blowjob.m3u8
欧美版粉红,http://live.redtraffic.xyz/teen.m3u8?fluxuslust.m3u8#http://live.redtraffic.xyz/teen.m3u8
欧美版惊艳,http://live.redtraffic.xyz/cuckold.m3u8?fluxuslust.m3u8#http://live.redtraffic.xyz/cuckold.m3u8
欧美版潘多拉,http://live.redtraffic.xyz/pornstar.m3u8
欧美版松視1,http://live.redtraffic.xyz/interracial.m3u8?fluxuslust.m3u8#http://live.redtraffic.xyz/interracial.m3u8
欧美版松視3,http://live.redtraffic.xyz/bigdick.m3u8fluxuslust.m3u8#http://live.redtraffic.xyz/bigdick.m3u8#http://live.redtraffic.xyz/bigdick.m3u8?fluxuslust.m3u8
欧美版松視4,http://live.redtraffic.xyz/latina.m3u8fluxuslust.m3u8#http://live.redtraffic.xyz/latina.m3u8
欧美版玩美,http://live.redtraffic.xyz/pov.m3u8fluxuslust.m3u8#http://live.redtraffic.xyz/pov.m3u8?fluxuslust.m3u8#http://live.redtraffic.xyz/pov.m3u8
欧美版现场,http://live.redtraffic.xyz/livecams.m3u8
欧美版香蕉,http://live.redtraffic.xyz:80/milf.m3u8#http://live.redtraffic.xyz/milf.m3u8
欧美版一本道,http://live.redtraffic.xyz/bigass.m3u8#http://live.redtraffic.xyz/bigass.m3u8fluxuslust.m3u8
欧美媒松視2,http://live.redtraffic.xyz/fetish.m3u8#http://live.redtraffic.xyz/fetish.m3u8fluxuslust.m3u8
